Time resolution is 1 ps
Starting simulation...
Time	PC	PF_occ	IF_Insn	R1
210000	0	0	00000000	0
220000	0	1	00000000	0
230000	1	2	ac020004	0
240000	2	1	ac020004	0
250000	3	0	8c030004	0
260000	3	1	8c030004	0
270000	4	2	00232020	0
280000	4	1	00232020	0
290000	5	2	20050000	0
300000	5	1	20050000	0
310000	6	2	10a40002	0
320000	7	1	10a40002	0
330000	8	0	00813022	0
340000	8	1	00813022	0
350000	9	0	20e70001	0
360000	9	0	20e70001	0
370000	9	1	20e70001	0
380000	10	2	00000000	0
390000	11	1	00000000	0
400000	12	0	00000000	0
410000	12	0	00000000	0
420000	12	0	00000000	0
430000	12	0	00000000	0
440000	12	0	00000000	0
450000	12	0	00000000	0
460000	12	0	00000000	0
470000	12	0	00000000	0
480000	12	0	00000000	0
490000	12	0	00000000	0
500000	12	0	00000000	0
510000	12	0	00000000	0
520000	12	0	00000000	0
530000	12	0	00000000	0
540000	12	0	00000000	0
550000	12	0	00000000	0
560000	12	0	00000000	0
570000	12	0	00000000	0
580000	12	0	00000000	0
590000	12	0	00000000	0
600000	12	0	00000000	0
610000	12	0	00000000	0
620000	12	0	00000000	0
630000	12	0	00000000	0
640000	12	0	00000000	0
650000	12	0	00000000	0
660000	12	0	00000000	0
670000	12	0	00000000	0
680000	12	0	00000000	0
690000	12	0	00000000	0
700000	12	0	00000000	0
710000	12	0	00000000	0
720000	12	0	00000000	0
730000	12	0	00000000	0
740000	12	0	00000000	0
750000	12	0	00000000	0
760000	12	0	00000000	0
770000	12	0	00000000	0
780000	12	0	00000000	0
790000	12	0	00000000	0
800000	12	0	00000000	0
810000	12	0	00000000	0
820000	12	0	00000000	0
830000	12	0	00000000	0
840000	12	0	00000000	0
850000	12	0	00000000	0
860000	12	0	00000000	0
870000	12	0	00000000	0
880000	12	0	00000000	0
890000	12	0	00000000	0
900000	12	0	00000000	0
910000	12	0	00000000	0
920000	12	0	00000000	0
930000	12	0	00000000	0
940000	12	0	00000000	0
950000	12	0	00000000	0
960000	12	0	00000000	0
970000	12	0	00000000	0
980000	12	0	00000000	0
990000	12	0	00000000	0
1000000	12	0	00000000	0
