Time resolution is 1 ps

==== PIPELINE MIPS TEST START ====

Time	PC	PF_OCC	Instruction
105000	0	0	00000000
115000	0	0	00000000
125000	0	0	00000000
135000	0	0	00000000
145000	0	0	00000000
155000	0	0	00000000
165000	0	0	00000000
175000	0	1	00000000
185000	1	2	200a0002
195000	2	1	200a0002
205000	3	0	200b0000
215000	3	1	200b0000
225000	4	2	01094020
235000	5	1	01094020
245000	6	0	012a4820
255000	6	1	012a4820
265000	7	2	01485020
275000	8	1	01485020
285000	9	0	216b0001
295000	9	1	216b0001
305000	10	2	200c0032
315000	11	1	200c0032
325000	12	0	122c0003
335000	12	1	122c0003
345000	13	2	00000000
355000	15	1	00000000
365000	16	0	00000000
375000	16	1	00000000
385000	17	2	00000000
395000	18	1	00000000
405000	19	0	00000000
415000	19	0	00000000
425000	19	0	00000000
435000	19	0	00000000
445000	19	0	00000000
455000	19	0	00000000
465000	19	0	00000000
475000	19	0	00000000
485000	19	0	00000000
495000	19	0	00000000
505000	19	0	00000000
515000	19	0	00000000
525000	19	0	00000000
535000	19	0	00000000
545000	19	0	00000000
555000	19	0	00000000
565000	19	0	00000000
575000	19	0	00000000
585000	19	0	00000000
595000	19	0	00000000
605000	19	0	00000000
615000	19	0	00000000
625000	19	0	00000000
635000	19	0	00000000
645000	19	0	00000000
655000	19	0	00000000
665000	19	0	00000000
675000	19	0	00000000
685000	19	0	00000000
695000	19	0	00000000
705000	19	0	00000000
715000	19	0	00000000
725000	19	0	00000000
735000	19	0	00000000
745000	19	0	00000000
755000	19	0	00000000
765000	19	0	00000000
775000	19	0	00000000
785000	19	0	00000000
795000	19	0	00000000
805000	19	0	00000000
815000	19	0	00000000
825000	19	0	00000000
835000	19	0	00000000
845000	19	0	00000000
855000	19	0	00000000
865000	19	0	00000000
875000	19	0	00000000
885000	19	0	00000000
895000	19	0	00000000
905000	19	0	00000000
915000	19	0	00000000
925000	19	0	00000000
935000	19	0	00000000
945000	19	0	00000000
955000	19	0	00000000
965000	19	0	00000000
975000	19	0	00000000
985000	19	0	00000000
995000	19	0	00000000
